,Name,Survived
0,"Kelly, Mr. James",0
1,"Wilkes, Mrs. James (Ellen Needs)",0
2,"Myles, Mr. Thomas Francis",0
3,"Wirz, Mr. Albert",0
4,"Hirvonen, Mrs. Alexander (Helga E Lindqvist)",1
5,"Svensson, Mr. Johan Cervin",0
6,"Connolly, Miss. Kate",1
7,"Caldwell, Mr. Albert Francis",0
8,"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",1
9,"Davies, Mr. John Samuel",0
10,"Ilieff, Mr. Ylio",0
11,"Jones, Mr. Charles Cresson",0
12,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",1
13,"Howard, Mr. Benjamin",0
14,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",1
15,"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",1
16,"Keane, Mr. Daniel",0
17,"Assaf, Mr. Gerios",0
18,"Ilmakangas, Miss. Ida Livija",1
19,"Assaf Khalil, Mrs. Mariana (Miriam"")""",1
20,"Rothschild, Mr. Martin",0
21,"Olsen, Master. Artur Karl",0
22,"Flegenheim, Mrs. Alfred (Antoinette)",1
23,"Williams, Mr. Richard Norris II",1
24,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",1
25,"Robins, Mr. Alexander A",0
26,"Ostby, Miss. Helene Ragnhild",1
27,"Daher, Mr. Shedid",0
28,"Brady, Mr. John Bertram",0
29,"Samaan, Mr. Elias",0
30,"Louch, Mr. Charles Alexander",0
31,"Jefferys, Mr. Clifford Thomas",0
32,"Dean, Mrs. Bertram (Eva Georgetta Light)",0
33,"Johnston, Mrs. Andrew G (Elizabeth Lily"" Watson)""",1
34,"Mock, Mr. Philipp Edmund",0
35,"Katavelas, Mr. Vassilios (Catavelas Vassilios"")""",0
36,"Roth, Miss. Sarah A",1
37,"Cacic, Miss. Manda",1
38,"Sap, Mr. Julius",0
39,"Hee, Mr. Ling",0
40,"Karun, Mr. Franz",0
41,"Franklin, Mr. Thomas Parham",0
42,"Goldsmith, Mr. Nathan",0
43,"Corbett, Mrs. Walter H (Irene Colvin)",1
44,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",1
45,"Peltomaki, Mr. Nikolai Johannes",0
46,"Chevre, Mr. Paul Romaine",0
47,"Shaughnessy, Mr. Patrick",0
48,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",1
49,"Coutts, Mrs. William (Winnie Minnie"" Treanor)""",0
50,"Smith, Mr. Lucien Philip",0
51,"Pulbaum, Mr. Franz",0
52,"Hocking, Miss. Ellen Nellie""""",1
53,"Fortune, Miss. Ethel Flora",1
54,"Mangiavacchi, Mr. Serafino Emilio",0
55,"Rice, Master. Albert",0
56,"Cor, Mr. Bartol",0
57,"Abelseth, Mr. Olaus Jorgensen",0
58,"Davison, Mr. Thomas Henry",0
59,"Chaudanson, Miss. Victorine",1
60,"Dika, Mr. Mirko",0
61,"McCrae, Mr. Arthur Gordon",0
62,"Bjorklund, Mr. Ernst Herbert",0
63,"Bradley, Miss. Bridget Delia",1
64,"Ryerson, Master. John Borie",1
65,"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",1
66,"Burns, Miss. Mary Delia",1
67,"Moore, Mr. Clarence Bloomfield",0
68,"Tucker, Mr. Gilbert Milligan Jr",1
69,"Fortune, Mrs. Mark (Mary McDougald)",1
